timestamp,signal,score,price,buy,sell,neutral
2026-04-24T11:07:44.088086,HOLD,0.05,68.78,8,8,10
2026-04-24T11:12:52.205015,HOLD,0.05,68.67,8,8,10
2026-04-24T11:18:00.291675,HOLD,0.05,68.66,8,8,10
2026-04-24T11:23:29.406642,HOLD,0.05,68.545,7,9,10
2026-04-24T11:28:37.247428,HOLD,0.05,68.6544,8,8,10
2026-04-24T11:33:45.331948,HOLD,0.05,68.49,7,9,10
2026-04-24T11:38:53.353278,HOLD,0.05,68.6901,8,8,10
2026-04-24T11:44:01.382690,HOLD,0.05,68.515,7,9,10
2026-04-24T11:49:09.523336,HOLD,0.05,68.57,8,8,10
2026-04-24T11:54:17.624026,HOLD,0.05,68.54,7,9,10
2026-04-24T11:59:25.703837,HOLD,0.05,68.515,7,9,10
2026-04-24T12:04:33.891196,HOLD,0.05,69.03,8,8,10
2026-04-24T12:09:41.959523,HOLD,0.05,69.145,9,7,10
2026-04-24T12:14:50.141602,HOLD,0.05,69.0901,9,7,10
2026-04-24T12:19:58.310748,HOLD,0.05,69.05,8,8,10
2026-04-24T12:25:06.380646,HOLD,0.05,68.865,8,8,10
2026-04-24T12:30:14.490901,HOLD,0.05,68.9499,8,8,10
2026-04-24T12:35:22.584769,HOLD,0.05,68.87,8,8,10
2026-04-24T12:40:30.743692,HOLD,0.05,68.96,8,8,10
2026-04-24T12:45:38.964785,HOLD,0.05,68.965,8,8,10
2026-04-24T12:50:47.084323,HOLD,0.05,69.0501,8,8,10
2026-04-24T12:55:55.267767,HOLD,0.05,69.05,8,8,10
2026-04-24T13:01:03.342919,HOLD,0.05,69.015,8,8,10
2026-04-24T13:06:11.588123,HOLD,0.05,68.97,8,8,10
2026-04-24T13:11:19.743158,HOLD,0.05,69.075,9,7,10
2026-04-24T13:16:27.804463,HOLD,0.05,69.175,9,7,10
2026-04-24T13:21:35.980220,HOLD,0.05,69.18,9,7,10
2026-04-24T13:26:44.148407,HOLD,0.05,69.19,9,7,10
2026-04-24T13:31:52.307685,HOLD,0.05,69.21,9,7,10
2026-04-24T13:37:00.342980,HOLD,0.05,69.09,9,7,10
2026-04-24T13:42:08.492356,HOLD,0.05,69.3299,9,7,10
2026-04-24T13:47:16.611493,HOLD,0.05,69.17,9,7,10
2026-04-24T13:52:24.774319,HOLD,0.05,69.29,9,7,10
2026-04-24T13:57:32.488934,HOLD,0.05,69.275,9,7,10
2026-04-24T14:02:40.180148,HOLD,0.05,69.25,9,7,10
2026-04-24T14:07:48.148155,HOLD,0.05,69.1907,9,7,10
2026-04-24T14:12:56.175106,HOLD,0.05,69.285,9,7,10
2026-04-24T14:18:04.360219,HOLD,0.05,69.29,9,7,10
2026-04-24T14:23:12.056929,HOLD,0.05,69.21,9,7,10
2026-04-24T14:28:19.856986,HOLD,0.05,69.2573,9,7,10
2026-04-24T14:33:27.746693,HOLD,0.05,69.17,9,7,10
2026-04-24T14:38:36.015333,HOLD,0.05,69.12,9,7,10
2026-04-24T14:43:44.220252,HOLD,0.05,69.13,9,7,10
2026-04-24T14:48:52.374933,HOLD,0.05,69.175,9,7,10
2026-04-24T14:54:00.399335,HOLD,0.05,69.2,9,7,10
2026-04-24T14:59:08.496303,HOLD,0.05,69.15,9,7,10
2026-04-24T15:04:16.780676,HOLD,0.05,69.145,9,7,10
2026-04-24T15:09:24.923163,HOLD,0.05,69.155,9,7,10
2026-04-24T15:14:33.076636,HOLD,0.05,69.22,9,7,10
2026-04-24T15:19:41.158864,HOLD,0.05,69.22,9,7,10
2026-04-24T15:24:49.311229,HOLD,0.05,69.205,9,7,10
2026-04-24T15:29:57.448021,HOLD,0.05,69.195,9,7,10
2026-04-24T15:35:05.625357,HOLD,0.05,69.155,9,7,10
2026-04-24T15:40:13.838562,HOLD,0.05,69,8,8,10
2026-04-24T15:41:43.913622,HOLD,0.05,69,8,8,10
2026-04-24T15:46:52.124146,HOLD,0.05,68.965,8,8,10
2026-04-24T15:52:00.330671,HOLD,0.05,68.94,8,8,10
2026-04-24T15:57:08.652927,HOLD,0.05,68.895,8,8,10
